division_id,electoral_division,state,enrolment,total_votes,turnout%
179,Adelaide,SA,109217,98662,90.34
197,Aston,VIC,96043,89111,92.78
198,Ballarat,VIC,110755,103168,93.15
103,Banks,NSW,104891,96488,91.99
180,Barker,SA,105600,98673,93.44
104,Barton,NSW,106511,95693,89.84
192,Bass,TAS,73555,68904,93.68
199,Batman,VIC,108935,97702,89.69
200,Bendigo,VIC,109604,102208,93.25
105,Bennelong,NSW,105962,97173,91.71
106,Berowra,NSW,105245,98099,93.21
304,Blair,QLD,98368,90307,91.81
107,Blaxland,NSW,103506,90314,87.25
310,Bonner,QLD,100799,92747,92.01
182,Boothby,SA,107325,99662,92.86
155,Bowman,QLD,103446,95979,92.78
193,Braddon,TAS,72529,68240,94.09
108,Bradfield,NSW,105662,97080,91.88
235,Brand,WA,98025,85320,87.04
156,Brisbane,QLD,107003,96529,90.21
201,Bruce,VIC,96742,87076,90.01
317,Burt,WA,99474,88261,88.73
109,Calare,NSW,112957,105768,93.64
203,Calwell,VIC,109405,96134,87.87
101,Canberra,ACT,143231,132310,92.38
236,Canning,WA,98894,88237,89.22
157,Capricornia,QLD,98190,91397,93.08
204,Casey,VIC,102908,95851,93.14
111,Chifley,NSW,103864,93354,89.88
205,Chisholm,VIC,97424,89159,91.52
112,Cook,NSW,104340,96368,92.36
207,Corangamite,VIC,110277,103598,93.94
208,Corio,VIC,107808,98996,91.83
237,Cowan,WA,96213,86208,89.6
113,Cowper,NSW,118260,109073,92.23
114,Cunningham,NSW,111304,101857,91.51
238,Curtin,WA,97534,87536,89.75
158,Dawson,QLD,103665,94609,91.26
209,Deakin,VIC,99698,92739,93.02
194,Denison,TAS,73963,68656,92.82
252,Dickson,QLD,100674,94105,93.47
115,Dobell,NSW,111630,102630,91.94
210,Dunkley,VIC,104957,95444,90.94
312,Durack,WA,97294,79811,82.03
117,Eden-Monaro,NSW,107817,100868,93.55
159,Fadden,QLD,104710,93647,89.43
160,Fairfax,QLD,108247,98609,91.1
118,Farrer,NSW,111388,103181,92.63
102,Fenner,ACT,138814,127617,91.93
161,Fisher,QLD,98592,89922,91.21
211,Flinders,VIC,115356,105437,91.4
311,Flynn,QLD,100667,92901,92.29
162,Forde,QLD,99010,88396,89.28
239,Forrest,WA,100262,89960,89.72
119,Fowler,NSW,105449,94620,89.73
195,Franklin,TAS,76784,72060,93.85
240,Fremantle,WA,99550,88411,88.81
212,Gellibrand,VIC,108469,96285,88.77
120,Gilmore,NSW,115878,107611,92.87
213,Gippsland,VIC,104088,95880,92.11
214,Goldstein,VIC,104895,95903,91.43
309,Gorton,VIC,115977,103358,89.12
121,Grayndler,NSW,105586,94265,89.28
122,Greenway,NSW,104377,96365,92.32
183,Grey,SA,102059,93495,91.61
163,Griffith,QLD,105828,95880,90.6
164,Groom,QLD,101512,94627,93.22
305,Hasluck,WA,95334,84676,88.82
165,Herbert,QLD,104815,94862,90.5
215,Higgins,VIC,104678,93841,89.65
185,Hindmarsh,SA,111715,102264,91.54
166,Hinkler,QLD,100687,92927,92.29
216,Holt,VIC,116291,104873,90.18
217,Hotham,VIC,99994,90675,90.68
124,Hughes,NSW,104413,98090,93.94
125,Hume,NSW,107130,100239,93.57
126,Hunter,NSW,113417,104715,92.33
218,Indi,VIC,103734,96436,92.96
219,Isaacs,VIC,105756,96009,90.78
220,Jagajaga,VIC,103132,95002,92.12
167,Kennedy,QLD,99883,89428,89.53
127,Kingsford Smith,NSW,108671,96983,89.24
186,Kingston,SA,105682,97008,91.79
221,Kooyong,VIC,100140,91826,91.7
223,La Trobe,VIC,105731,98051,92.74
222,Lalor,VIC,123609,111840,90.48
168,Leichhardt,QLD,109077,95820,87.85
169,Lilley,QLD,106969,99050,92.6
128,Lindsay,NSW,109724,101189,92.22
306,Lingiari,NT,63131,46525,73.7
302,Longman,QLD,105026,96285,91.68
130,Lyne,NSW,111790,104451,93.44
196,Lyons,TAS,76639,71689,93.54
131,Macarthur,NSW,104857,96291,91.83
132,Mackellar,NSW,108268,99235,91.66
133,Macquarie,NSW,104774,97841,93.38
187,Makin,SA,107086,98436,91.92
224,Mallee,VIC,99324,91735,92.36
170,Maranoa,QLD,102780,95318,92.74
225,Maribyrnong,VIC,110286,98402,89.22
188,Mayo,SA,103981,97944,94.19
226,McEwen,VIC,130612,120389,92.17
315,McMahon,NSW,106159,95479,89.94
227,McMillan,VIC,116200,107036,92.11
171,McPherson,QLD,103761,92877,89.51
228,Melbourne,VIC,111741,96983,86.79
230,Melbourne Ports,VIC,102283,88565,86.59
229,Menzies,VIC,99205,91872,92.61
134,Mitchell,NSW,102410,95506,93.26
172,Moncrieff,QLD,102982,89971,87.37
242,Moore,WA,99887,90436,90.54
173,Moreton,QLD,97782,88589,90.6
231,Murray,VIC,104359,96546,92.51
135,New England,NSW,109461,102200,93.37
136,Newcastle,NSW,113334,104174,91.92
137,North Sydney,NSW,107040,97100,90.71
243,O'Connor,WA,101778,90373,88.79
174,Oxley,QLD,94997,86845,91.42
138,Page,NSW,117263,108793,92.78
139,Parkes,NSW,107363,98717,91.95
140,Parramatta,NSW,101538,90389,89.02
249,Paterson,NSW,112541,105211,93.49
244,Pearce,WA,104392,91182,87.35
245,Perth,WA,98714,86905,88.04
175,Petrie,QLD,105390,96679,91.73
189,Port Adelaide,SA,113346,101936,89.93
176,Rankin,QLD,101700,90648,89.13
144,Reid,NSW,105459,95345,90.41
145,Richmond,NSW,112715,102146,90.62
250,Riverina,NSW,111026,103704,93.41
146,Robertson,NSW,108435,100319,92.52
177,Ryan,QLD,105037,97082,92.43
232,Scullin,VIC,110570,100842,91.2
148,Shortland,NSW,110100,102883,93.45
307,Solomon,NT,69998,58665,83.81
246,Stirling,WA,98571,86478,87.73
190,Sturt,SA,104742,96688,92.31
247,Swan,WA,97268,84464,86.84
149,Sydney,NSW,110302,93503,84.77
248,Tangney,WA,94025,85748,91.2
191,Wakefield,SA,112251,101403,90.34
233,Wannon,VIC,99155,92936,93.73
151,Warringah,NSW,102645,92277,89.9
251,Watson,NSW,105422,93160,88.37
152,Wentworth,NSW,102782,88641,86.24
153,Werriwa,NSW,108557,97942,90.22
150,Whitlam,NSW,112051,104069,92.88
178,Wide Bay,QLD,102856,94617,91.99
234,Wills,VIC,113851,100915,88.64
316,Wright,QLD,99969,92298,92.33
