division_id,electoral_division,ordinary_votes,absent_votes,provisional_votes,prepoll_votes,postal_votes,total_votes
179,Adelaide,79148,6869,686,3444,8515,98662
197,Aston,72395,3756,292,3090,9578,89111
198,Ballarat,87377,3439,783,3118,8451,103168
103,Banks,81420,4109,469,3395,7095,96488
180,Barker,85870,3019,245,2877,6662,98673
104,Barton,80543,5648,518,3194,5790,95693
192,Bass,59883,1855,227,1807,5132,68904
199,Batman,77383,5653,339,4955,9372,97702
200,Bendigo,85737,3368,270,3983,8850,102208
105,Bennelong,79865,4311,320,4014,8663,97173
106,Berowra,81856,4602,252,3228,8161,98099
304,Blair,73236,3827,306,2538,10400,90307
107,Blaxland,77483,4898,605,2486,4842,90314
310,Bonner,71403,4870,270,2296,13908,92747
182,Boothby,83229,5812,486,2292,7843,99662
155,Bowman,81665,2757,154,2711,8692,95979
193,Braddon,60531,1294,176,1843,4396,68240
108,Bradfield,79269,4412,308,3576,9515,97080
235,Brand,69901,4627,449,3815,6528,85320
156,Brisbane,72687,7081,386,4269,12106,96529
201,Bruce,67480,4036,434,3752,11374,87076
317,Burt,72422,5063,576,3139,7061,88261
109,Calare,95550,2960,270,3104,3884,105768
203,Calwell,77797,5434,723,5166,7014,96134
101,Canberra,117248,1338,477,6789,6458,132310
236,Canning,71120,5611,351,3842,7313,88237
157,Capricornia,76185,3356,130,2066,9660,91397
204,Casey,75983,4209,325,3612,11722,95851
111,Chifley,81524,4769,576,2360,4125,93354
205,Chisholm,66438,5146,286,4073,13216,89159
112,Cook,82559,4406,382,2201,6820,96368
207,Corangamite,82724,4371,257,4356,11890,103598
208,Corio,83256,3476,316,2652,9296,98996
237,Cowan,69283,6465,381,4097,5982,86208
113,Cowper,97382,3185,281,3104,5121,109073
114,Cunningham,88550,4119,334,3238,5616,101857
238,Curtin,68172,5353,401,5035,8575,87536
158,Dawson,80482,3604,181,3264,7078,94609
209,Deakin,70763,4709,314,3792,13161,92739
194,Denison,57594,2851,282,2206,5723,68656
252,Dickson,73971,4468,217,3786,11663,94105
115,Dobell,89475,4261,436,2279,6179,102630
210,Dunkley,73269,4167,332,4385,13291,95444
312,Durack,66720,4295,266,2894,5636,79811
117,Eden-Monaro,86744,2071,215,4826,7012,100868
159,Fadden,76905,4599,343,2924,8876,93647
160,Fairfax,82163,4370,204,3549,8323,98609
118,Farrer,89854,1575,231,4428,7093,103181
102,Fenner,113396,1857,532,5693,6139,127617
161,Fisher,73615,4098,176,3690,8343,89922
211,Flinders,83601,4634,267,5911,11024,105437
311,Flynn,71719,4279,197,4165,12541,92901
162,Forde,69554,4361,287,2722,11472,88396
239,Forrest,76442,4573,280,3114,5551,89960
119,Fowler,82742,4183,723,2243,4729,94620
195,Franklin,61252,3172,261,2003,5372,72060
240,Fremantle,72051,5734,296,3333,6997,88411
212,Gellibrand,78658,4429,603,4580,8015,96285
120,Gilmore,94072,3185,226,3866,6262,107611
213,Gippsland,85237,2109,251,3985,4298,95880
214,Goldstein,73041,4527,287,4366,13682,95903
309,Gorton,85113,4234,777,4176,9058,103358
121,Grayndler,78013,6279,417,3538,6018,94265
122,Greenway,83641,4621,465,2308,5330,96365
183,Grey,80555,3424,295,2777,6444,93495
163,Griffith,73854,5831,345,3568,12282,95880
164,Groom,75998,3355,156,2016,13102,94627
305,Hasluck,66756,7048,539,3709,6624,84676
165,Herbert,79672,3107,252,2967,8864,94862
215,Higgins,68682,5895,413,5881,12970,93841
185,Hindmarsh,83806,6793,476,2184,9005,102264
166,Hinkler,79774,2377,163,2870,7743,92927
216,Holt,83909,5507,628,2732,12097,104873
217,Hotham,72511,4636,458,3258,9812,90675
124,Hughes,84270,4864,320,2558,6078,98090
125,Hume,86264,4654,368,3200,5753,100239
126,Hunter,92580,4396,409,2620,4710,104715
218,Indi,81104,2140,172,4276,8744,96436
219,Isaacs,77551,5447,404,3926,8681,96009
220,Jagajaga,76805,4505,282,3955,9455,95002
167,Kennedy,75582,3568,176,3493,6609,89428
127,Kingsford Smith,83682,4145,374,2797,5985,96983
186,Kingston,82957,4738,439,1981,6893,97008
221,Kooyong,67487,4917,269,4835,14318,91826
223,La Trobe,74795,5325,348,3939,13644,98051
222,Lalor,93196,4065,520,3867,10192,111840
168,Leichhardt,82637,2312,296,2996,7579,95820
169,Lilley,78454,4669,260,2741,12926,99050
128,Lindsay,88500,3988,539,2303,5859,101189
306,Lingiari,42399,748,229,1640,1509,46525
302,Longman,78578,3376,225,3341,10765,96285
130,Lyne,91360,4161,334,2898,5698,104451
196,Lyons,57741,4060,223,3523,6142,71689
131,Macarthur,84647,4700,516,1808,4620,96291
132,Mackellar,84146,4708,356,2839,7186,99235
133,Macquarie,85311,3873,330,2310,6017,97841
187,Makin,83807,5833,463,2003,6330,98436
224,Mallee,80794,2246,198,3730,4767,91735
170,Maranoa,72747,4045,203,3217,15106,95318
225,Maribyrnong,76709,5095,585,5229,10784,98402
188,Mayo,82438,4364,367,3085,7690,97944
226,McEwen,96379,5937,522,5398,12153,120389
315,McMahon,81388,5987,626,2625,4853,95479
227,McMillan,88215,3995,346,4542,9938,107036
171,McPherson,76740,3205,307,3102,9523,92877
228,Melbourne,71159,8118,723,6901,10082,96983
230,Melbourne Ports,62356,6882,418,4885,14024,88565
229,Menzies,71193,4239,247,3439,12754,91872
134,Mitchell,80278,4771,300,2520,7637,95506
172,Moncrieff,73339,4020,385,3158,9069,89971
242,Moore,74932,5357,300,3436,6411,90436
173,Moreton,68072,4947,308,3296,11966,88589
231,Murray,82135,2806,267,4217,7121,96546
135,New England,90553,2729,238,2639,6041,102200
136,Newcastle,90757,4303,383,2512,6219,104174
137,North Sydney,78509,4427,372,3612,10180,97100
243,O'Connor,75938,5349,253,2976,5857,90373
174,Oxley,71148,3979,455,2941,8322,86845
138,Page,97844,2614,268,2931,5136,108793
139,Parkes,86471,3265,291,2877,5813,98717
140,Parramatta,74100,6212,600,3342,6135,90389
249,Paterson,92318,3787,417,2531,6158,105211
244,Pearce,72122,8024,572,3403,7061,91182
245,Perth,69571,6091,564,3570,7109,86905
175,Petrie,77823,3807,185,2753,12111,96679
189,Port Adelaide,85525,6671,803,1704,7233,101936
176,Rankin,73998,4123,336,2727,9464,90648
144,Reid,78790,4836,375,3435,7909,95345
145,Richmond,90256,2073,248,3841,5728,102146
250,Riverina,92788,2878,241,3196,4601,103704
146,Robertson,86074,4427,275,2802,6741,100319
177,Ryan,74640,5727,223,4062,12430,97082
232,Scullin,80221,4825,484,4122,11190,100842
148,Shortland,89638,4499,369,2299,6078,102883
307,Solomon,50555,973,249,3234,3654,58665
246,Stirling,68801,6486,545,3038,7608,86478
190,Sturt,80058,5578,405,1868,8779,96688
247,Swan,64690,6701,475,5589,7009,84464
149,Sydney,72328,7444,636,5685,7410,93503
248,Tangney,69241,4890,320,3950,7347,85748
191,Wakefield,86188,5411,662,2175,6967,101403
233,Wannon,77789,2725,174,4799,7449,92936
151,Warringah,76568,4915,220,2775,7799,92277
251,Watson,79120,5340,750,3066,4884,93160
152,Wentworth,70019,4751,357,3830,9684,88641
153,Werriwa,86095,4673,508,1946,4720,97942
150,Whitlam,93549,3597,358,1991,4574,104069
178,Wide Bay,79037,3177,131,3560,8712,94617
234,Wills,79320,5864,374,5684,9673,100915
316,Wright,70581,5412,200,3877,12228,92298
