division_id,total_eligible,total_participants,turnout_percent
179,108708,88422,81.33899988961254
197,95253,77706,81.57853295959183
198,113368,92583,81.66590219462282
103,104682,83846,80.09590951644027
180,105297,81124,77.043030665641
104,108906,84967,78.01865829247241
192,73973,58558,79.16131561515688
199,110499,92708,83.89940180454121
200,110948,91761,82.70631286728917
105,105804,85922,81.20864995652339
106,104387,88451,84.73373121174093
304,101881,78152,76.70910179523169
107,104150,78321,75.2001920307249
310,101382,83552,82.41305162652147
182,106422,89684,84.27204901242224
155,105231,85683,81.4237249479716
193,73142,55567,75.9713981023215
108,105369,88193,83.69919046398846
235,100743,76572,76.00726601351954
156,111096,90645,81.59159645711817
201,94911,73739,77.69278587308109
317,100342,76397,76.13661278427777
109,114903,89661,78.03190517218871
203,111062,87558,78.83704597432065
101,143881,119740,83.22155114295842
236,101823,79868,78.43807391257378
157,98667,73841,74.83859851824825
204,104186,87519,84.0026491083255
111,107522,79441,73.88348431018768
205,97032,79964,82.40992662214526
112,104443,85858,82.20560497113259
207,113765,96776,85.06658462620314
208,110045,91922,83.53128265709483
237,95740,74629,77.94965531648214
113,120721,95627,79.21322719328037
114,112707,92240,81.84052454594656
238,97173,81667,84.04289257303984
158,103920,77059,74.1522324865281
209,99065,83817,84.60808560036341
194,73591,60607,82.35653816363414
252,100873,82522,81.80781775103347
115,113978,89914,78.88715366123287
210,105801,86657,81.90565306566101
312,97225,66101,67.98765749550013
117,109716,87708,79.94093842283714
159,109915,83859,76.29440931628986
160,111829,90613,81.02817694873423
118,113250,87652,77.39690949227374
102,140934,114990,81.59138320064712
161,101917,82397,80.84715994387591
211,118372,97107,82.03544757206096
311,100298,75840,75.61466828850027
162,101367,77118,76.07801355470716
239,102240,80611,78.84487480438185
119,105835,76641,72.41555251098409
195,78217,64712,82.7339325210632
240,101007,81304,80.49343114833626
212,110216,90579,82.18316759817087
120,118444,95447,80.58407348620446
213,105223,84970,80.75230700512246
214,105510,90770,86.02976021230215
309,120578,93244,77.33085637512647
121,106914,90974,85.09082065959556
122,106750,81620,76.45901639344262
183,101687,76487,75.21807113987039
163,109558,89590,81.77403749612078
164,102626,82084,79.9836298793678
305,95132,75776,79.65353403691712
165,105719,76232,72.10813571827202
215,105204,88724,84.33519638036576
185,111181,90839,81.70370836743687
166,102168,79895,78.19963197870175
216,120930,92799,76.73778218804267
217,99995,80333,80.33701685084255
124,104076,87194,83.77916138206695
125,110115,86856,78.87753712028334
126,116751,91623,78.4772721432793
218,105170,86323,82.07949034895883
219,106759,86216,80.75759420751412
220,103007,87830,85.26604988010523
167,100529,70853,70.48015995384416
127,109753,87472,79.6989603928822
186,106322,85762,80.66251575403021
221,99670,85640,85.92354770743454
223,109890,91031,82.83829283829284
222,130081,100112,76.96127797295532
168,110764,75053,67.75938030406992
169,108088,88009,81.42346976537635
128,113441,86713,76.43885367724191
306,69484,34820,50.11225605894882
302,108299,84244,77.78834522941118
130,114070,92752,81.31147540983606
196,78187,61049,78.08075511274252
131,109948,82844,75.34834649106851
132,108789,91384,84.00113982112161
133,105503,87183,82.63556486545406
187,106201,84450,79.51902524458339
224,99451,78343,78.7754773707655
170,103256,80805,78.2569535910746
225,112160,88516,78.91940085592012
188,105030,87937,83.7256022088927
226,138827,112068,80.72493102926664
315,106702,83060,77.84296451800341
227,119983,97707,81.43403648850254
171,105138,82095,78.0830907949552
228,116279,96261,82.7845096707058
230,103918,85329,82.11185742604746
229,97989,82343,84.03290165222627
134,104615,85299,81.53610858863452
172,104003,78906,75.86896531830813
242,98968,82302,83.16021340231185
173,97312,77424,79.56264386714896
231,105210,83728,79.58178880334569
135,110393,84888,76.89618001141376
136,114575,94740,82.68819550512765
137,107128,89716,83.74654618773803
243,101981,77198,75.69841441052745
174,96779,73587,76.03612353919755
138,119056,93500,78.5344711732294
139,108200,78488,72.53974121996303
140,101797,76117,74.7733233788815
249,116849,92726,79.35540740613955
244,109930,83844,76.27035386154826
245,98727,79460,80.48456855774003
175,108728,85606,78.73408873519242
189,113990,86937,76.2672164224932
176,101887,75924,74.51784820438328
144,105965,82275,77.64356155334309
145,114524,91928,80.2696378051762
250,112132,86570,77.20365283772696
146,109138,88829,81.39144935769393
177,104709,88634,84.6479290223381
232,112772,90099,79.894832050509
148,111433,91881,82.45403067313991
307,67771,45248,66.76602086438153
246,97640,76508,78.35723064317902
190,103290,84084,81.40575079872204
247,96783,75143,77.64070136284265
149,112246,90313,80.45988275751475
248,92431,77680,84.04106847269856
191,113259,85701,75.6681588218155
233,99365,80860,81.37674231369193
151,102737,86220,83.9230267576433
251,106564,81997,76.94624826395405
152,103050,85059,82.54148471615721
153,112580,83381,74.06377686978148
150,114963,92027,80.04923323156146
178,104952,83416,79.48014330360546
234,117209,97156,82.8912455528159
316,104507,82545,78.9851397514042
