division_id,ages_18-34,ages_35-49,ages_50-64,ages_65-79,ages_80_plus
179,24474,20770,22353,15429,5396
197,20745,18667,21236,13420,3638
198,22345,22008,24709,18264,5257
103,20562,20416,22008,14571,6289
180,14079,16493,24109,20212,6231
104,22459,22667,20336,14115,5390
192,13117,12785,16087,12592,3977
199,27707,27071,20202,12385,5343
200,20851,20709,24976,19446,5779
105,22006,21709,22329,13885,5993
106,20596,21420,24912,16287,5236
304,21413,19210,20289,13662,3578
107,22762,19241,19536,12370,4412
310,20760,22393,21301,14180,4918
182,20562,20330,23584,18370,6838
155,18930,19632,24059,18097,4965
193,10620,11257,16284,13443,3963
108,19922,22342,22910,15990,7029
235,22082,19910,18856,12273,3451
156,33378,24584,19433,10183,3067
201,17082,16516,18594,16021,5526
317,22417,19992,18776,12189,3023
109,20137,19909,24282,19543,5790
203,25334,21722,23981,13430,3091
101,34122,29753,30462,19769,5634
236,17183,16767,21299,19364,5255
157,17469,17870,21019,13551,3932
204,23089,21544,23014,15923,3949
111,23598,20858,20058,12076,2851
205,20096,19377,19254,14150,7087
112,20012,20571,21682,16451,7142
207,22813,23588,25115,19299,5961
208,22850,20668,23954,18633,5817
237,20472,20413,19091,11885,2768
113,16630,18188,27041,25275,8493
114,24761,21451,23376,16426,6226
238,21190,19048,20724,15102,5603
158,17529,18864,22493,14316,3857
209,20143,22052,19809,15631,6182
194,15200,13960,15920,11558,3969
252,20856,23375,21749,13859,2683
115,21607,20004,22873,18686,6744
210,20495,20689,21799,17855,5819
312,15395,17845,19099,11135,2627
117,17362,20119,26493,18827,4907
159,19957,19996,21534,17784,4588
160,18393,21261,25174,19947,5838
118,17733,17943,24587,20572,6817
102,36504,34439,24508,15472,4067
161,16010,18288,21933,20050,6116
211,19148,20677,25992,24192,7098
311,17120,19077,22631,14029,2983
162,20800,20007,19312,13860,3139
239,16136,19898,22962,17105,4510
119,20841,17739,21281,13024,3756
195,13656,14829,18021,14246,3960
240,22142,21871,20583,12925,3783
212,24842,26687,21191,12912,4947
120,16077,16674,27302,27347,8047
213,16961,16736,24373,21201,5699
214,20052,22860,24988,16328,6542
309,27220,29358,22184,12384,2098
121,27913,28513,19944,11275,3329
122,22934,25234,19502,11198,2752
183,13351,14923,22934,19603,5676
163,31057,25657,19403,9959,3514
164,19853,18784,21475,16500,5472
305,18289,18650,20271,14696,3870
165,22039,19248,19542,12297,3106
215,27442,22108,20038,14079,5057
185,21591,19823,22939,18305,8181
166,12301,14572,22243,24146,6633
216,27986,26288,23117,12373,3035
217,18706,21117,20039,14433,6038
124,22653,23245,22695,14637,3964
125,21988,21353,23085,16266,4164
126,22193,20429,24326,19012,5663
218,17020,18471,25232,19914,5686
219,21654,23826,21876,14330,4530
220,21813,22827,22979,15401,4810
167,12951,15549,21481,16485,4387
127,24039,24105,20070,13901,5357
186,21980,20007,22567,16907,4301
221,23665,19588,22004,14591,5792
223,24438,25871,24094,13362,3266
222,30387,32347,23161,11748,2469
168,16400,20060,22279,13418,2896
169,24243,23236,20728,14142,5660
128,26082,22534,21005,13860,3232
306,9850,10237,10196,4027,510
302,19292,19125,22145,19241,4441
130,14000,15980,26696,27832,8244
196,10616,12332,19205,15592,3304
131,25100,20866,21470,12804,2604
132,19447,23429,23851,18209,6448
133,20436,21071,24279,17151,4246
187,20450,20163,21714,17267,4856
224,15629,15552,22442,18172,6548
170,15665,17384,23448,19070,5238
225,23457,21939,22073,15355,5692
188,15660,18702,25224,22490,5861
226,32262,32644,27875,15955,3332
315,23459,20438,21521,13770,3872
227,22686,21784,25731,21483,6023
171,19200,20069,20908,16545,5373
228,40693,25536,17321,10053,2658
230,26242,24203,19041,12349,3494
229,18688,18594,21888,17146,6027
134,20597,24578,21664,14831,3629
172,18735,17165,19818,17644,5544
242,20250,20188,24470,14182,3212
173,22464,20026,18416,12402,4116
231,16794,17120,23592,19783,6439
135,17343,17263,23852,20215,6215
136,28457,22519,23093,15054,5617
137,23200,25388,21170,14956,5002
243,15132,17168,23269,17103,4526
174,20980,20419,18559,10868,2761
138,16342,18839,28454,22845,7020
139,17569,16205,22052,17148,5514
140,21644,20790,18561,11283,3839
249,22180,20786,23962,20305,5493
244,24022,22981,20622,13218,3001
245,22998,20787,19120,12421,4134
175,20017,21064,21247,17512,5766
189,22813,21132,23696,14351,4945
176,21207,20247,19579,12491,2400
144,22092,21663,20388,13223,4909
145,15834,19466,26395,22338,7895
250,18960,18027,23502,19477,6604
146,19211,18961,23556,19831,7270
177,25824,23221,21147,14261,4181
232,25215,23527,23117,14457,3783
148,20716,19860,23993,20494,6818
307,13272,13300,11964,5817,895
246,19572,19157,18416,14244,5119
190,18787,19021,21010,17797,7469
247,22115,18163,17901,12373,4591
149,33759,27132,17671,9417,2334
248,17968,17253,21430,15408,5621
191,22245,19460,23496,15453,5047
233,15754,16388,23405,19219,6094
151,20271,24934,21427,14523,5065
251,22757,21152,20366,12899,4823
152,23801,24658,18528,13284,4788
153,25046,22716,21801,11079,2739
150,21193,20327,23943,20291,6273
178,12438,16735,25629,23090,5524
234,32746,27696,19405,11535,5774
316,17881,21457,23840,16050,3317
