division_id,year_12_completion_percent,higher_education_completion_percent
179,82.4,49.3
197,79.7,49.3
198,68.6,45.1
103,83.4,47.8
180,57.9,34.9
104,83.9,48.0
192,60.4,39.8
200,66.3,44.9
105,88.6,57.7
106,87.1,57.6
304,67.9,40.6
107,76.1,35.4
310,84.0,51.2
182,82.8,51.6
155,77.3,47.1
193,48.6,36.7
108,91.0,62.0
235,58.5,42.4
156,85.2,58.7
201,74.2,37.8
317,68.0,44.1
109,54.9,41.0
203,73.5,37.3
101,87.6,60.9
236,61.1,41.1
157,63.9,38.5
204,69.9,48.8
111,70.7,39.2
205,89.2,54.6
112,81.4,50.7
207,75.2,50.8
208,69.5,44.8
237,72.5,42.5
113,56.4,41.5
114,77.6,49.3
238,87.4,60.7
158,64.4,40.7
209,79.6,52.5
252,79.2,50.1
115,61.6,41.6
210,68.7,46.3
312,50.8,38.6
117,64.3,45.6
159,72.7,44.5
160,73.8,48.8
118,55.6,37.6
102,81.3,56.9
161,72.9,46.2
211,66.4,45.7
311,61.4,37.8
162,70.0,41.9
239,57.9,43.2
119,77.2,30.9
195,64.7,46.5
240,75.2,50.1
212,79.9,52.1
120,56.2,43.8
213,54.9,40.2
214,89.0,58.2
309,69.2,41.7
121,84.4,59.6
122,77.7,50.2
183,53.5,34.2
163,85.5,58.6
164,72.9,43.6
305,64.4,44.1
165,71.2,43.8
215,88.6,61.7
185,76.7,43.8
166,62.8,37.3
216,69.8,43.8
217,87.9,48.4
124,80.0,53.5
125,60.8,45.1
126,52.2,41.6
218,59.6,43.7
219,80.7,49.4
220,83.4,54.3
167,59.9,36.2
127,84.4,52.2
186,69.1,44.6
221,91.3,61.1
223,70.5,47.9
222,70.6,47.3
168,65.9,44.0
169,81.3,51.1
128,62.7,41.3
306,37.7,32.9
302,65.1,40.0
130,53.7,40.2
196,48.2,35.9
131,66.5,41.2
132,81.9,54.4
133,64.9,51.4
187,73.1,43.4
224,56.8,34.7
170,62.0,34.7
225,84.2,51.3
188,70.8,47.6
226,69.5,48.3
315,72.1,36.6
171,78.2,47.6
228,85.1,57.8
229,88.2,53.1
134,86.8,56.8
172,75.3,45.5
242,80.9,52.9
173,86.5,53.5
135,60.3,39.1
136,76.6,50.3
137,88.4,64.9
243,53.4,37.0
174,72.6,43.8
138,55.7,40.7
139,50.4,35.0
140,80.2,51.7
249,54.3,41.7
244,64.2,43.8
245,77.3,53.6
175,73.2,45.1
176,73.0,42.2
144,84.2,54.1
145,62.6,44.4
250,58.1,38.6
146,69.3,46.9
177,89.4,59.4
232,78.6,41.1
148,60.9,45.3
307,63.9,49.3
246,77.5,49.2
190,85.3,52.4
247,79.1,50.1
149,80.6,57.9
248,87.1,54.3
233,59.4,38.8
151,85.6,61.7
251,81.8,41.0
152,83.5,61.6
153,75.7,37.3
150,62.2,42.8
178,63.4,40.0
234,84.2,52.0
316,70.0,41.6
